
K:	0
R:	0.3
Network's Recall Time [sec]:	0.138
Critical resources:	CPU
Metric	CPU	Sd1	Sd2	Sd3
Usages:	0.300	0.200	0.225	0.150
Throughputs [jobs/sec]:	75.000	20.000	15.000	10.000
Avg num of jobs:	0.429	0.250	0.290	0.176
Is critical resource:	YES	NO	NO	NO

K:	0
R:	0.55
Network's Recall Time [sec]:	0.177
Critical resources:	CPU
Metric	CPU	Sd1	Sd2	Sd3
Usages:	0.550	0.367	0.413	0.275
Throughputs [jobs/sec]:	137.500	36.667	27.500	18.333
Avg num of jobs:	1.222	0.579	0.702	0.379
Is critical resource:	YES	NO	NO	NO

K:	0
R:	0.8
Network's Recall Time [sec]:	0.260
Critical resources:	CPU
Metric	CPU	Sd1	Sd2	Sd3
Usages:	0.800	0.533	0.600	0.400
Throughputs [jobs/sec]:	200.000	53.333	40.000	26.667
Avg num of jobs:	4.000	1.143	1.500	0.667
Is critical resource:	YES	NO	NO	NO

K:	0
R:	1.0
Network's Recall Time [sec]:	inf
Critical resources:	CPU
Metric	CPU	Sd1	Sd2	Sd3
Usages:	1.000	0.667	0.750	0.500
Throughputs [jobs/sec]:	250.000	66.667	50.000	33.333
Avg num of jobs:	inf	2.000	3.000	1.000
Is critical resource:	YES	NO	NO	NO

K:	1
R:	0.3
Network's Recall Time [sec]:	0.062
Critical resources:	Usr disk 1
Metric	CPU	Sd1	Sd2	Sd3	Usr disk 1
Usages:	0.075	0.050	0.056	0.037	0.300
Throughputs [jobs/sec]:	18.750	5.000	3.750	2.500	12.000
Avg num of jobs:	0.081	0.053	0.060	0.039	0.429
Is critical resource:	NO	NO	NO	NO	YES

K:	1
R:	0.55
Network's Recall Time [sec]:	0.083
Critical resources:	Usr disk 1
Metric	CPU	Sd1	Sd2	Sd3	Usr disk 1
Usages:	0.137	0.092	0.103	0.069	0.550
Throughputs [jobs/sec]:	34.375	9.167	6.875	4.583	22.000
Avg num of jobs:	0.159	0.101	0.115	0.074	1.222
Is critical resource:	NO	NO	NO	NO	YES

K:	1
R:	0.8
Network's Recall Time [sec]:	0.154
Critical resources:	Usr disk 1
Metric	CPU	Sd1	Sd2	Sd3	Usr disk 1
