K - num of user disks	CPU	Sd1	Sd2	Sd3	Usr disk 1	Usr disk 2	Usr disk 3	Usr disk 4	Usr disk 5
0	1.562	0.417	0.313	0.208
1	1.562	0.417	0.313	0.208	1.000
2	1.562	0.417	0.313	0.208	0.500	0.500
3	1.562	0.417	0.313	0.208	0.333	0.333	0.333
4	1.562	0.417	0.313	0.208	0.250	0.250	0.250	0.250
5	1.562	0.417	0.313	0.208	0.200	0.200	0.200	0.200	0.200
